ATU Classification Type,AT Classification Type,Thompson Motif
ATU 124 Blowing the House In,"AT 124 Blowing the House In
(3 Pigs)",Z81. Blowing the house in.
ATU 125 The Wolf Flees from the Wolf-head,AT 125 Frightening Wolves with a Wolf's Head,K1715.3. The wolf flees from the wolf-head.
ATU 126 Sheep Chases the Wolf,AT 126 Goat Frightens a Lion,K1715. Weak animal (man) makes large one (ogre) believe that he has eaten many of the large one's companions.
ATU 130 Animals in New Quarters (Bremen Town Musicians),AT 130 Outcast Animals Find a New Home,B296. Animals go a-journeying.
,,K335. Thief frightens owner from goods.
,,K1161. Animals hidden in various parts of a house attack owner with their characteristic powers and kill him when he enters.
ATU 130A Animals Build Themselves a House,AT 130A Outcast Animals Build a New Home,NA
ATU 131 Tiger as False Friend to the Cow,AT 131 Tiger as False Friend to the Cow,J427. Association of cow and tiger: tiger eats cow as soon as she is hungry.
ATU 132 Goat Admires his Horns in the Water,AT 132 Goat Admires his Horns in the Water,K1775. Bluff: insult repeated as harmless remark.
ATU 136 Wolf Surprises Pig in Apple Tree,AT 136 Wolf Surprises Pig in Apple Tree,"K1043. Dupe induced to eat sharp (stinging, bitter) fruit."
ATU 137 The Filthy Hog and the Clean Fish,137 The Filthy Hog and the Clean Fish,NA
ATU 150 The Bird's Three Precepts,AT 150 Captured Bird Buys Freedom with Advice,K604. The three teachings of the bird (fox).
,,"J21.14. ""Never try to reach the unattainable"""
,,"J21.13. ""Never believe what is beyond belief"""
,,"J21.12. ""Rue not a thing that is past"""
ATU 151 Man Teaches Wild Animal to Play Fiddle,AT 151 Music Lessons for Wild Animals,K1111.0.1. Dupe wishing to learn to play fiddle has finger caught in cleft of tree.
ATU 152 Plowman and the Animals,AT 152 Man Paints the Bear,"K1013.3. ""Painting"" with a red hot iron."
ATU 153 The Gelding of the Bear and the Fetching of Salve,AT 153 The Gelding of the Bear and the Fetching of Salve,K1012.1. Making the dupe strong -- by castration.
ATU 154 Fox and His Members,AT 154 Sackful of Dogs,"J2351.1. Fox holds conversation with his members, attracts attention, and is caught."
ATU 155 Ungrateful Snake Returned to Captivity,AT 155 Tiger is Tricked Back into Captivity,J1172.3. Ungrateful animal returned to captivity.
ATU 156 Androcles and the Lion,AT 156 Androcles and the Lion,B381. Thorn removed from lion's paw (Androcles and the Lion)
ATU 156A Faith of the Lion,AT 156A Faithful Lion,B301.8. Faithful lion follows man who saved him.
ATU 157 Animals Learn to Fear Men,AT 157 Learning to Fear Man,J17. Animal learns through experience to fear men.
ATU 157A Lion Searches for Man,AT 157A Lion in Search of the Man,J22.1. Precept of the lion to his sons: beware of man.
ATU 159A Animals Warm Selves at Charcoal Burner's Fire,AT 159A Animals and the Charcoal Burner,NA
ATU 159B Enmity of Lion and Man,AT 159B Why the Lion Hates the Man,W185.6. Insult worse than wound.
ATU 160 Grateful Animals ; Ungrateful M1an,AT 160 Grateful Animals and Ungrateful Man Are Rescued from Pit,W154.8. Grateful animals; ungrateful man
ATU 161 Farmer Betrays Fox by Pointing,AT 161 Betrayed by the Pointing Finger,K2315. Peasant betrays fox by pointing.
ATU 161A* Bear with the Wooden Leg,AT 161A* Bear with the Wooden Paw,NA
ATU 162 Master Looks More Closely Than the Farmhand,AT 162 Master Sees the Hidden Stag,J1032. Stag found by master when overlooked by servants.
ATU 163 The Singing Wolf,AT 163 Singing Wolf,Z33.4.2. The singing wolf.
